Season,Team0,Team1,Seed,Outcome
2023,1101,1102,,
2023,1101,1103,,
2023,1101,1104,,
2023,1101,1105,,
2023,1101,1106,,
2023,1101,1107,,
2023,1101,1108,,
2023,1101,1110,,
2023,1101,1111,,
2023,1101,1112,,
2023,1101,1113,,
2023,1101,1114,,
2023,1101,1115,,
2023,1101,1116,,
2023,1101,1117,,
2023,1101,1119,,
2023,1101,1120,,
2023,1101,1122,,
2023,1101,1123,,
2023,1101,1124,,
2023,1101,1125,,
2023,1101,1126,,
2023,1101,1127,,
2023,1101,1129,,
2023,1101,1130,,
2023,1101,1131,,
2023,1101,1132,,
2023,1101,1133,,
2023,1101,1135,,
2023,1101,1136,,
2023,1101,1137,,
2023,1101,1138,,
2023,1101,1139,,
2023,1101,1140,,
2023,1101,1141,,
2023,1101,1142,,
2023,1101,1143,,
2023,1101,1144,,
2023,1101,1145,,
2023,1101,1146,,
2023,1101,1148,,
2023,1101,1149,,
2023,1101,1150,,
2023,1101,1151,,
2023,1101,1152,,
2023,1101,1153,,
2023,1101,1154,,
2023,1101,1155,,
2023,1101,1156,,
2023,1101,1157,,
2023,1101,1158,,
2023,1101,1159,,
2023,1101,1160,,
2023,1101,1161,,
2023,1101,1162,,
2023,1101,1163,,
2023,1101,1164,,
2023,1101,1165,,
2023,1101,1166,,
2023,1101,1167,,
2023,1101,1168,,
2023,1101,1169,,
2023,1101,1170,,
2023,1101,1171,,
2023,1101,1172,,
2023,1101,1173,,
2023,1101,1174,,
2023,1101,1175,,
2023,1101,1176,,
2023,1101,1177,,
2023,1101,1178,,
2023,1101,1179,,
2023,1101,1180,,
2023,1101,1181,,
2023,1101,1182,,
2023,1101,1183,,
2023,1101,1184,,
2023,1101,1185,,
2023,1101,1186,,
2023,1101,1187,,
2023,1101,1188,,
2023,1101,1189,,
2023,1101,1190,,
2023,1101,1191,,
2023,1101,1192,,
2023,1101,1193,,
2023,1101,1194,,
2023,1101,1195,,
2023,1101,1196,,
2023,1101,1197,,
2023,1101,1198,,
2023,1101,1199,,
2023,1101,1200,,
2023,1101,1201,,
2023,1101,1202,,
2023,1101,1203,,
2023,1101,1204,,
2023,1101,1205,,
2023,1101,1206,,
2023,1101,1207,,
2023,1101,1208,,
2023,1101,1209,,
2023,1101,1210,,
2023,1101,1211,,
2023,1101,1212,,
2023,1101,1213,,
2023,1101,1214,,
2023,1101,1216,,
2023,1101,1217,,
2023,1101,1218,,
2023,1101,1219,,
2023,1101,1220,,
2023,1101,1221,,
2023,1101,1222,,
2023,1101,1223,,
2023,1101,1224,,
2023,1101,1225,,
2023,1101,1226,,
2023,1101,1227,,
2023,1101,1228,,
2023,1101,1229,,
2023,1101,1230,,
2023,1101,1231,,
2023,1101,1232,,
2023,1101,1233,,
2023,1101,1234,,
2023,1101,1235,,
2023,1101,1236,,
2023,1101,1237,,
2023,1101,1238,,
2023,1101,1239,,
2023,1101,1240,,
2023,1101,1241,,
2023,1101,1242,,
2023,1101,1243,,
2023,1101,1244,,
2023,1101,1245,,
2023,1101,1246,,
2023,1101,1247,,
2023,1101,1248,,
2023,1101,1249,,
2023,1101,1250,,
2023,1101,1251,,
2023,1101,1252,,
2023,1101,1253,,
2023,1101,1254,,
2023,1101,1255,,
2023,1101,1256,,
2023,1101,1257,,
2023,1101,1258,,
2023,1101,1259,,
2023,1101,1260,,
2023,1101,1261,,
2023,1101,1262,,
2023,1101,1263,,
2023,1101,1264,,
2023,1101,1265,,
2023,1101,1266,,
2023,1101,1267,,
2023,1101,1268,,
2023,1101,1269,,
2023,1101,1270,,
2023,1101,1271,,
2023,1101,1272,,
2023,1101,1273,,
2023,1101,1274,,
2023,1101,1275,,
2023,1101,1276,,
2023,1101,1277,,
2023,1101,1278,,
2023,1101,1279,,
2023,1101,1280,,
2023,1101,1281,,
2023,1101,1282,,
2023,1101,1283,,
2023,1101,1284,,
2023,1101,1285,,
2023,1101,1286,,
2023,1101,1287,,
2023,1101,1288,,
2023,1101,1290,,
2023,1101,1291,,
2023,1101,1292,,
2023,1101,1293,,
2023,1101,1294,,
2023,1101,1295,,
2023,1101,1296,,
2023,1101,1297,,
2023,1101,1298,,
2023,1101,1299,,
2023,1101,1300,,
2023,1101,1301,,
2023,1101,1303,,
2023,1101,1304,,
2023,1101,1305,,
2023,1101,1306,,
2023,1101,1307,,
2023,1101,1308,,
2023,1101,1309,,
2023,1101,1310,,
2023,1101,1311,,
2023,1101,1312,,
2023,1101,1313,,
2023,1101,1314,,
2023,1101,1315,,
2023,1101,1316,,
2023,1101,1317,,
2023,1101,1318,,
2023,1101,1319,,
2023,1101,1320,,
2023,1101,1321,,
2023,1101,1322,,
2023,1101,1323,,
2023,1101,1324,,
2023,1101,1325,,
2023,1101,1326,,
2023,1101,1328,,
2023,1101,1329,,
2023,1101,1330,,
2023,1101,1331,,
2023,1101,1332,,
2023,1101,1333,,
2023,1101,1334,,
2023,1101,1335,,
2023,1101,1336,,
2023,1101,1337,,
2023,1101,1338,,
2023,1101,1339,,
2023,1101,1340,,
2023,1101,1341,,
2023,1101,1342,,
2023,1101,1343,,
2023,1101,1344,,
2023,1101,1345,,
2023,1101,1346,,
2023,1101,1347,,
2023,1101,1348,,
2023,1101,1349,,
2023,1101,1350,,
2023,1101,1351,,
2023,1101,1352,,
2023,1101,1353,,
2023,1101,1354,,
2023,1101,1355,,
2023,1101,1356,,
2023,1101,1357,,
2023,1101,1358,,
2023,1101,1359,,
2023,1101,1360,,
2023,1101,1361,,
2023,1101,1362,,
2023,1101,1363,,
2023,1101,1364,,
2023,1101,1365,,
2023,1101,1367,,
2023,1101,1368,,
2023,1101,1369,,
2023,1101,1370,,
2023,1101,1371,,
2023,1101,1372,,
2023,1101,1373,,
2023,1101,1374,,
2023,1101,1375,,
2023,1101,1376,,
2023,1101,1377,,
2023,1101,1378,,
2023,1101,1379,,
2023,1101,1380,,
2023,1101,1381,,
2023,1101,1382,,
2023,1101,1383,,
