Season,TeamID,TPCT,Luck,WScore,LScore,MOV,SOS,OSRS,DSRS,SRS,TSPCT,eFGPCT,FGPCT,FG3PCT,FG3Ar,FTPCT,FTr,OR,DR,AST,TOV,STL,BLK,PF,WIN
2010,1102,0.12839355,0.8692974592718306,-2.3799293954143197,-1.2320202486039746,-1.1091946773879975,0.6117666709764465,-1.8682813521619472,1.2142454278097103,-0.42416347689761474,-0.09373979217894991,0.504,0.443,0.313,0.394,0.635,0.367,0.20930232558139528,0.2691903259726602,0.350838803792852,0.39414567733151795,0.24036281179138322,0.0891218872870249,0.4598540145985402,1
2010,1102,0.12839355,0.884494075232211,-2.3799293954143197,-1.2320202486039746,-1.1091946773879975,0.6117666709764465,-1.8682813521619472,1.2142454278097103,-0.42416347689761474,0.9694091626743494,0.527,0.451,0.347,0.44,0.681,0.4,0.3488372093023256,0.369085173501577,0.3727206418672503,0.33287950987066034,0.33219954648526073,0.24115334207077327,0.39416058394160575,0
2010,1103,0.4786047633333333,0.6939522617426898,-0.008297187367856944,-0.7831075711325273,0.6605239487867132,-0.22190648397340257,0.2921539569623427,0.24142677810251534,0.3382694516258278,-0.38702226248330834,0.491,0.433,0.339,0.343,0.657,0.363,0.689922480620155,0.40588853838065164,0.4237782640408462,0.43498978897208984,0.3639455782312925,0.30013106159895153,0.5985401459854014,1
2010,1103,0.4786047633333333,0.7797017759945611,-0.008297187367856944,-0.7831075711325273,0.6605239487867132,-0.22190648397340257,0.2921539569623427,0.24142677810251534,0.3382694516258278,-0.7902856591518013,0.464,0.417,0.32,0.293,0.709,0.405,0.5503875968992248,0.3743427970557306,0.22684172137126193,0.4962559564329475,0.4478458049886621,0.20183486238532108,0.5693430656934307,0
2010,1104,0.30211666666666664,0.7128647685660588,-0.37997089161394365,-0.9140404353950333,0.4379077596117948,1.2401725696319483,0.4115750042003688,1.2988383538712054,1.0809502317419273,-0.24038102733112915,0.49,0.441,0.35,0.279,0.707,0.343,0.5968992248062015,0.4111461619348054,0.41648431801604674,0.40095302927161336,0.5555555555555556,0.3931847968545216,0.5036496350364963,1
2010,1104,0.30211666666666664,0.12385372215076418,-0.37997089161394365,-0.9140404353950333,0.4379077596117948,1.2401725696319483,0.4115750042003688,1.2988383538712054,1.0809502317419273,-0.826945967939846,0.477,0.424,0.318,0.329,0.664,0.365,0.5891472868217054,0.3743427970557306,0.2560175054704595,0.4758339006126616,0.33219954648526073,0.4089121887287025,0.39416058394160575,0
2010,1105,0.28398395000000004,0.29800333209780416,-0.8401383349662417,0.002489614442506507,-0.7680633946954968,-2.4204268342839117,-1.5875643450180157,-1.464530564137638,-1.9342152226389926,-2.513320172189905,0.416,0.382,0.291,0.237,0.635,0.474,0.7364341085271318,0.4216614090431126,0.2195477753464624,0.646017699115044,0.7188208616780046,0.5674967234600262,0.6642335766423356,1
2010,1105,0.28398395000000004,0.23239297661669567,-0.8401383349662417,0.002489614442506507,-0.7680633946954968,-2.4204268342839117,-1.5875643450180157,-1.464530564137638,-1.9342152226389926,-1.1568887470322493,0.469,0.424,0.313,0.285,0.626,0.416,0.8294573643410852,0.6267087276550996,0.46024799416484324,0.8162014976174267,0.6179138321995464,0.5334207077326344,0.6934306569343066,0
2010,1106,0.3942985666666667,0.04866576004363232,-1.0879208044636344,-0.7082887915539516,-0.39009633969347707,-2.116127129777379,-1.4991617516080487,-0.6483654812109899,-1.3633781336667778,-1.1935490558202941,0.462,0.404,0.324,0.356,0.641,0.448,0.6589147286821705,0.3848580441640378,0.38001458789204967,0.6324029952348535,0.5068027210884354,0.41808650065530806,0.6715328467153284,1
2010,1106,0.3942985666666667,0.12255634881873156,-1.0879208044636344,-0.7082887915539516,-0.39009633969347707,-2.116127129777379,-1.4991617516080487,-0.6483654812109899,-1.3633781336667778,-0.31370164490721875,0.482,0.435,0.349,0.27,0.668,0.479,0.46511627906976744,0.4216614090431126,0.2414296134208607,0.5983662355343771,0.5770975056689343,0.33420707732634336,0.6934306569343066,0
