Season,TeamID,ConfAbbrev,Conference,ConfRank,ConfSRS,ConfSOS,WinPCT,Wins,Losses,Schools
2010,3102,mwc,Mountain West Conference,7,6.08,4.65,0.553633218,160,129,9
2010,3103,mac,Mid-American Conference,14,-0.97,-0.47,0.485254692,181,192,12
2010,3104,sec,Southeastern Conference,2,16.35,10.53,0.605670103,235,153,12
2010,3105,swac,Southwest Athletic Conference,32,-15.87,-10.86,0.421768707,124,170,10
2010,3106,swac,Southwest Athletic Conference,32,-15.87,-10.86,0.421768707,124,170,10
2010,3107,aec,America East Conference,16,-2.55,-0.67,0.476534296,132,145,9
2010,3108,swac,Southwest Athletic Conference,32,-15.87,-10.86,0.421768707,124,170,10
2010,3110,patriot,Patriot League,25,-9.84,-7.05,0.462809917,112,130,8
2010,3111,southern,Southern Conference,22,-6.31,-4.49,0.485549133,168,178,11
2010,3112,pac_ten,Pacific-10 Conference,4,15.31,12.06,0.565349544,186,143,10
2010,3113,pac_ten,Pacific-10 Conference,4,15.31,12.06,0.565349544,186,143,10
2010,3114,sun_belt,Sun Belt Conference,18,-4.03,-3.07,0.496259352,199,202,13
2010,3115,swac,Southwest Athletic Conference,32,-15.87,-10.86,0.421768707,124,170,10
2010,3116,sec,Southeastern Conference,2,16.35,10.53,0.605670103,235,153,12
2010,3117,sun_belt,Sun Belt Conference,18,-4.03,-3.07,0.496259352,199,202,13
2010,3119,patriot,Patriot League,25,-9.84,-7.05,0.462809917,112,130,8
2010,3120,sec,Southeastern Conference,2,16.35,10.53,0.605670103,235,153,12
2010,3122,ovc,Ohio Valley Conference,31,-13.46,-9.36,0.447368421,136,168,10
2010,3123,mac,Mid-American Conference,14,-0.97,-0.47,0.485254692,181,192,12
2010,3124,big_twelve,Big 12 Conference,1,19.71,12.74,0.639303483,257,145,12
2010,3125,a_sun,Atlantic Sun Conference,26,-10.14,-7.9,0.461077844,154,180,11
2010,3126,meac,Mid-Eastern Athletic Conference,29,-13.27,-9.62,0.47005988,157,177,11
2010,3127,aec,America East Conference,16,-2.55,-0.67,0.476534296,132,145,9
2010,3129,wac,Western Athletic Conference,13,0.13,0.98,0.510638298,144,138,9
2010,3130,acc,Atlantic Coast Conference,6,14.97,9.18,0.627848101,248,147,12
2010,3131,aec,America East Conference,16,-2.55,-0.67,0.476534296,132,145,9
2010,3132,mac,Mid-American Conference,14,-0.97,-0.47,0.485254692,181,192,12
2010,3133,mvc,Missouri Valley Conference,11,1.45,1.61,0.51572327,164,154,10
2010,3135,ivy,Ivy League,21,-5.74,-3.13,0.466666667,105,120,8
2010,3136,nec,Northeast Conference,23,-8.47,-6.54,0.454293629,164,197,12
2010,3137,patriot,Patriot League,25,-9.84,-7.05,0.462809917,112,130,8
2010,3138,mac,Mid-American Conference,14,-0.97,-0.47,0.485254692,181,192,12
2010,3139,horizon,Horizon League,15,-2.23,-0.5,0.469453376,146,165,10
2010,3140,mwc,Mountain West Conference,7,6.08,4.65,0.553633218,160,129,9
2010,3141,mac,Mid-American Conference,14,-0.97,-0.47,0.485254692,181,192,12
2010,3142,big_west,Big West Conference,17,-3.17,-0.46,0.429090909,118,157,9
2010,3143,pac_ten,Pacific-10 Conference,4,15.31,12.06,0.565349544,186,143,10
2010,3144,a_sun,Atlantic Sun Conference,26,-10.14,-7.9,0.461077844,154,180,11
2010,3145,maac,Metro Atlantic Athletic Conference,19,-5.29,-3.95,0.463022508,144,167,10
2010,3146,southland,Southland Conference,28,-11.66,-9.11,0.486187845,176,186,12
2010,3147,summit,Summit League,27,-11.06,-6.54,0.424836601,130,176,10
2010,3148,nec,Northeast Conference,23,-8.47,-6.54,0.454293629,164,197,12
2010,3149,big_south,Big South Conference,24,-9.22,-6.98,0.498194946,138,139,9
2010,3150,a_ten,Atlantic 10 Conference,8,3.67,3.05,0.523917995,230,209,14
2010,3151,southern,Southern Conference,22,-6.31,-4.49,0.485549133,168,178,11
2010,3152,gwc,Great West Conference,33,-18.0,-9.47,0.377358491,80,132,7
2010,3153,big_east,Big East Conference,5,15.23,9.86,0.623106061,329,199,16
2010,3155,acc,Atlantic Coast Conference,6,14.97,9.18,0.627848101,248,147,12
2010,3156,horizon,Horizon League,15,-2.23,-0.5,0.469453376,146,165,10
2010,3157,big_south,Big South Conference,24,-9.22,-6.98,0.498194946,138,139,9
2010,3158,southern,Southern Conference,22,-6.31,-4.49,0.485549133,168,178,11
2010,3159,patriot,Patriot League,25,-9.84,-7.05,0.462809917,112,130,8
2010,3160,big_twelve,Big 12 Conference,1,19.71,12.74,0.639303483,257,145,12
2010,3161,mwc,Mountain West Conference,7,6.08,4.65,0.553633218,160,129,9
