,team_1,Seed_1,team_0,Seed_0,winner,team_score_mean_1,num_ot_mean_1,fgm_mean_1,fga_mean_1,fgm3_mean_1,fga3_mean_1,ftm_mean_1,fta_mean_1,or_mean_1,dr_mean_1,ast_mean_1,to_mean_1,stl_mean_1,blk_mean_1,pf_mean_1,team_score_median_1,num_ot_median_1,fgm_median_1,fga_median_1,fgm3_median_1,fga3_median_1,ftm_median_1,fta_median_1,or_median_1,dr_median_1,ast_median_1,to_median_1,stl_median_1,blk_median_1,pf_median_1,Last14days_1,last14days_wins_1,team_score_mean_0,num_ot_mean_0,fgm_mean_0,fga_mean_0,fgm3_mean_0,fga3_mean_0,ftm_mean_0,fta_mean_0,or_mean_0,dr_mean_0,ast_mean_0,to_mean_0,stl_mean_0,blk_mean_0,pf_mean_0,team_score_median_0,num_ot_median_0,fgm_median_0,fga_median_0,fgm3_median_0,fga3_median_0,ftm_median_0,fta_median_0,or_median_0,dr_median_0,ast_median_0,to_median_0,stl_median_0,blk_median_0,pf_median_0,Last14days_0,last14days_wins_0,season
0,1107,16,1291,16,1,64.51785714285714,0.017857142857142856,22.553571428571427,52.44642857142857,6.75,19.196428571428573,12.660714285714286,17.625,10.428571428571429,22.803571428571427,12.142857142857142,15.303571428571429,5.714285714285714,2.5357142857142856,16.875,63.5,0.0,22.0,52.5,6.0,18.5,12.0,16.0,11.0,22.0,12.0,15.0,5.0,2.0,17.0,0,0,66.47802197802197,0.09615384615384616,23.543956043956044,55.379120879120876,6.313186813186813,18.755494505494507,13.076923076923077,19.068681318681318,10.98076923076923,21.892857142857142,11.997252747252746,14.054945054945055,7.167582417582418,2.978021978021978,19.593406593406595,66.0,0.0,23.0,55.0,6.0,18.0,12.0,18.0,11.0,22.0,12.0,14.0,7.0,3.0,20.0,22,13,2014
1,1107,16,1196,01,0,64.51785714285714,0.017857142857142856,22.553571428571427,52.44642857142857,6.75,19.196428571428573,12.660714285714286,17.625,10.428571428571429,22.803571428571427,12.142857142857142,15.303571428571429,5.714285714285714,2.5357142857142856,16.875,63.5,0.0,22.0,52.5,6.0,18.5,12.0,16.0,11.0,22.0,12.0,15.0,5.0,2.0,17.0,0,0,75.4370179948586,0.05141388174807198,26.87917737789203,56.09254498714653,7.665809768637532,20.411311053984576,14.012853470437017,20.04884318766067,11.452442159383033,24.426735218509,15.437017994858612,12.740359897172237,7.051413881748072,3.588688946015424,16.043701799485863,75.0,0.0,26.0,56.0,8.0,20.0,13.0,20.0,11.0,24.0,15.0,13.0,7.0,3.0,16.0,53,33,2014
2,1163,07,1196,01,1,74.82631578947368,0.08947368421052632,26.61315789473684,58.39736842105263,5.510526315789473,15.589473684210526,16.089473684210525,23.2,13.757894736842106,27.071052631578947,14.726315789473684,13.576315789473684,6.481578947368421,7.578947368421052,15.99736842105263,74.0,0.0,26.0,57.0,5.0,15.0,16.0,23.0,13.0,27.0,14.0,13.0,6.0,7.0,16.0,47,25,75.4370179948586,0.05141388174807198,26.87917737789203,56.09254498714653,7.665809768637532,20.411311053984576,14.012853470437017,20.04884318766067,11.452442159383033,24.426735218509,15.437017994858612,12.740359897172237,7.051413881748072,3.588688946015424,16.043701799485863,75.0,0.0,26.0,56.0,8.0,20.0,13.0,20.0,11.0,24.0,15.0,13.0,7.0,3.0,16.0,53,33,2014
3,1173,11,1196,01,0,72.58974358974359,0.10256410256410256,25.666666666666668,56.38461538461539,7.384615384615385,20.025641025641026,13.871794871794872,19.94871794871795,12.256410256410257,23.871794871794872,15.333333333333334,13.76923076923077,6.076923076923077,2.9743589743589745,19.28205128205128,74.0,0.0,26.0,56.0,7.0,20.0,13.0,19.0,12.0,24.0,16.0,13.0,5.0,3.0,20.0,3,3,75.4370179948586,0.05141388174807198,26.87917737789203,56.09254498714653,7.665809768637532,20.411311053984576,14.012853470437017,20.04884318766067,11.452442159383033,24.426735218509,15.437017994858612,12.740359897172237,7.051413881748072,3.588688946015424,16.043701799485863,75.0,0.0,26.0,56.0,8.0,20.0,13.0,20.0,11.0,24.0,15.0,13.0,7.0,3.0,16.0,53,33,2014
4,1301,12,1462,12,1,70.13978494623656,0.05913978494623656,24.440860215053764,54.655913978494624,6.693548387096774,18.892473118279568,14.564516129032258,20.397849462365592,10.63978494623656,23.102150537634408,14.06989247311828,13.612903225806452,6.059139784946237,3.6989247311827955,17.510752688172044,70.0,0.0,24.0,54.0,6.0,18.0,14.0,20.5,10.0,23.0,14.0,13.0,6.0,3.0,18.0,26,14,73.18461538461538,0.03076923076923077,25.76923076923077,55.10769230769231,6.338461538461538,16.953846153846154,15.307692307692308,21.46153846153846,11.015384615384615,23.93846153846154,14.415384615384616,12.984615384615385,5.630769230769231,3.123076923076923,18.784615384615385,74.0,0.0,25.0,54.0,6.0,17.0,15.0,21.0,11.0,25.0,14.0,13.0,6.0,3.0,18.0,5,2,2014
5,1301,12,1387,05,0,70.13978494623656,0.05913978494623656,24.440860215053764,54.655913978494624,6.693548387096774,18.892473118279568,14.564516129032258,20.397849462365592,10.63978494623656,23.102150537634408,14.06989247311828,13.612903225806452,6.059139784946237,3.6989247311827955,17.510752688172044,70.0,0.0,24.0,54.0,6.0,18.0,14.0,20.5,10.0,23.0,14.0,13.0,6.0,3.0,18.0,26,14,63.68292682926829,0.024390243902439025,22.634146341463413,52.73170731707317,5.609756097560975,17.097560975609756,12.804878048780488,18.682926829268293,9.902439024390244,23.73170731707317,12.487804878048781,12.268292682926829,5.926829268292683,3.3658536585365852,17.658536585365855,63.0,0.0,23.0,52.0,5.0,16.0,13.0,17.0,10.0,24.0,13.0,13.0,6.0,3.0,18.0,3,2,2014
6,1257,04,1387,05,1,72.36,0.06,24.99,57.75,8.14,23.08,14.24,20.76,12.48,23.5,15.07,12.87,9.17,4.22,19.18,73.0,0.0,24.5,58.0,8.0,23.0,13.0,21.0,13.0,23.0,15.0,12.0,9.0,4.0,19.0,16,11,63.68292682926829,0.024390243902439025,22.634146341463413,52.73170731707317,5.609756097560975,17.097560975609756,12.804878048780488,18.682926829268293,9.902439024390244,23.73170731707317,12.487804878048781,12.268292682926829,5.926829268292683,3.3658536585365852,17.658536585365855,63.0,0.0,23.0,52.0,5.0,16.0,13.0,17.0,10.0,24.0,13.0,13.0,6.0,3.0,18.0,3,2,2014
7,1142,16,1411,16,1,61.945454545454545,0.03636363636363636,21.490909090909092,55.29090909090909,7.054545454545455,22.0,11.909090909090908,16.509090909090908,10.6,21.236363636363638,11.345454545454546,12.036363636363637,5.4363636363636365,2.2181818181818183,18.490909090909092,62.0,0.0,21.0,55.0,7.0,21.0,12.0,17.0,10.0,21.0,11.0,12.0,5.0,2.0,19.0,7,3,66.57617728531856,0.07479224376731301,23.0387811634349,54.04986149584487,5.3850415512465375,16.736842105263158,15.113573407202216,23.542936288088644,11.662049861495845,24.10803324099723,11.89196675900277,16.418282548476455,6.908587257617729,3.1662049861495847,18.94459833795014,66.0,0.0,23.0,54.0,5.0,16.0,15.0,23.0,12.0,24.0,12.0,16.0,7.0,3.0,19.0,52,30,2014
8,1142,16,1455,01,0,61.945454545454545,0.03636363636363636,21.490909090909092,55.29090909090909,7.054545454545455,22.0,11.909090909090908,16.509090909090908,10.6,21.236363636363638,11.345454545454546,12.036363636363637,5.4363636363636365,2.2181818181818183,18.490909090909092,62.0,0.0,21.0,55.0,7.0,21.0,12.0,17.0,10.0,21.0,11.0,12.0,5.0,2.0,19.0,7,3,69.8663101604278,0.045454545454545456,24.240641711229948,53.62032085561497,6.660427807486631,18.802139037433154,14.724598930481283,20.427807486631018,11.489304812834225,24.914438502673796,14.358288770053475,13.20053475935829,6.021390374331551,3.2058823529411766,18.06417112299465,69.0,0.0,24.0,53.0,7.0,19.0,14.0,20.0,11.0,25.0,15.0,13.0,6.0,3.0,18.0,28,14,2014
9,1246,08,1455,01,1,72.00666666666666,0.05333333333333334,25.4,55.68,6.126666666666667,17.246666666666666,15.08,21.8,12.033333333333333,24.68,13.253333333333334,13.586666666666666,6.38,5.1466666666666665,17.453333333333333,72.5,0.0,26.0,55.0,6.0,17.0,15.0,21.0,12.0,25.0,13.0,13.0,6.0,5.0,17.0,30,22,69.8663101604278,0.045454545454545456,24.240641711229948,53.62032085561497,6.660427807486631,18.802139037433154,14.724598930481283,20.427807486631018,11.489304812834225,24.914438502673796,14.358288770053475,13.20053475935829,6.021390374331551,3.2058823529411766,18.06417112299465,69.0,0.0,24.0,53.0,7.0,19.0,14.0,20.0,11.0,25.0,15.0,13.0,6.0,3.0,18.0,28,14,2014
