Season,StartDate,TeamID,ConfAbbrev,Description,RegionW,RegionX,RegionY,RegionZ,CoachChg,CoachName
2000,1999-11-01,1102,mwc,Mountain West Conference,East,South,Midwest,West,1.0,reggie_minton
2000,1999-11-01,1103,mac,Mid-American Conference,East,South,Midwest,West,1.0,dan_hipsher
2000,1999-11-01,1104,sec,Southeastern Conference,East,South,Midwest,West,1.0,mark_gottfried
2000,1999-11-01,1105,swac,Southwest Athletic Conference,East,South,Midwest,West,1.0,vann_pettaway
2000,1999-11-01,1106,swac,Southwest Athletic Conference,East,South,Midwest,West,1.0,rob_spivery
2000,1999-11-01,1107,ind,Independent,East,South,Midwest,West,1.0,scott_hicks
2000,1999-11-01,1108,swac,Southwest Athletic Conference,East,South,Midwest,West,1.0,davey_whitney
2000,1999-11-01,1110,caa,Colonial Athletic Association,East,South,Midwest,West,1.0,art_perry
2000,1999-11-01,1111,southern,Southern Conference,East,South,Midwest,West,1.0,buzz_peterson
2000,1999-11-01,1112,pac_ten,Pacific-10 Conference,East,South,Midwest,West,1.0,lute_olson
2000,1999-11-01,1113,pac_ten,Pacific-10 Conference,East,South,Midwest,West,1.0,rob_evans
2000,1999-11-01,1114,sun_belt,Sun Belt Conference,East,South,Midwest,West,1.0,sidney_moncrief
2000,1999-11-01,1115,swac,Southwest Athletic Conference,East,South,Midwest,West,1.0,harold_blevins
2000,1999-11-01,1116,sec,Southeastern Conference,East,South,Midwest,West,1.0,nolan_richardson_jr
2000,1999-11-01,1117,sun_belt,Sun Belt Conference,East,South,Midwest,West,1.0,dickey_nutt
2000,1999-11-01,1119,patriot,Patriot League,East,South,Midwest,West,1.0,pat_harris
2000,1999-11-01,1120,sec,Southeastern Conference,East,South,Midwest,West,1.0,cliff_ellis
2000,1999-11-01,1122,ovc,Ohio Valley Conference,East,South,Midwest,West,1.0,dave_loos
2000,1999-11-01,1123,mac,Mid-American Conference,East,South,Midwest,West,1.0,ray_mccallum
2000,1999-11-01,1124,big_twelve,Big 12 Conference,East,South,Midwest,West,1.0,dave_bliss
2000,1999-11-01,1125,ind,Independent,East,South,Midwest,West,1.0,rick_byrd
2000,1999-11-01,1126,meac,Mid-Eastern Athletic Conference,East,South,Midwest,West,1.0,horace_broadnax
2000,1999-11-01,1129,big_west,Big West Conference,East,South,Midwest,West,1.0,rod_jensen
2000,1999-11-01,1130,big_east,Big East Conference,East,South,Midwest,West,1.0,al_skinner
2000,1999-11-01,1131,aec,America East Conference,East,South,Midwest,West,1.0,dennis_wolff
2000,1999-11-01,1132,mac,Mid-American Conference,East,South,Midwest,West,1.0,dan_dakich
2000,1999-11-01,1133,mvc,Missouri Valley Conference,East,South,Midwest,West,1.0,jim_molinari
2000,1999-11-01,1135,ivy,Ivy League,East,South,Midwest,West,1.0,glen_miller
2000,1999-11-01,1137,patriot,Patriot League,East,South,Midwest,West,1.0,pat_flannery
2000,1999-11-01,1138,mac,Mid-American Conference,East,South,Midwest,West,0.19480519480519481,tim_cohane
2000,1999-11-01,1138,mac,Mid-American Conference,East,South,Midwest,West,0.7987012987012987,reggie_witherspoon
2000,1999-11-01,1139,mw_coll,Midwestern Collegiate Conference,East,South,Midwest,West,1.0,barry_collier
2000,1999-11-01,1140,mwc,Mountain West Conference,East,South,Midwest,West,1.0,steve_cleveland
2000,1999-11-01,1141,mac,Mid-American Conference,East,South,Midwest,West,1.0,jay_smith
2000,1999-11-01,1142,big_west,Big West Conference,East,South,Midwest,West,1.0,jeff_schneider
2000,1999-11-01,1143,pac_ten,Pacific-10 Conference,East,South,Midwest,West,1.0,ben_braun
2000,1999-11-01,1144,a_sun,Atlantic Sun Conference,East,South,Midwest,West,1.0,billy_lee
2000,1999-11-01,1145,maac,Metro Atlantic Athletic Conference,East,South,Midwest,West,1.0,mike_macdonald
2000,1999-11-01,1147,ind,Independent,East,South,Midwest,West,1.0,kevin_johnson
2000,1999-11-01,1148,nec,Northeast Conference,East,South,Midwest,West,1.0,howie_dickenman
2000,1999-11-01,1149,big_south,Big South Conference,East,South,Midwest,West,1.0,tom_conrad
2000,1999-11-01,1150,cusa,Conference USA,East,South,Midwest,West,1.0,bobby_lutz
2000,1999-11-01,1151,southern,Southern Conference,East,South,Midwest,West,1.0,henry_dickerson
2000,1999-11-01,1152,mid_cont,Mid-Continent Conference,East,South,Midwest,West,1.0,bo_ellis
2000,1999-11-01,1153,cusa,Conference USA,East,South,Midwest,West,1.0,bob_huggins
2000,1999-11-01,1154,southern,Southern Conference,East,South,Midwest,West,1.0,pat_dennis
2000,1999-11-01,1155,acc,Atlantic Coast Conference,East,South,Midwest,West,1.0,larry_shyatt
2000,1999-11-01,1156,mw_coll,Midwestern Collegiate Conference,East,South,Midwest,West,1.0,rollie_massimino
2000,1999-11-01,1157,big_south,Big South Conference,East,South,Midwest,West,1.0,pete_strickland
2000,1999-11-01,1158,southern,Southern Conference,East,South,Midwest,West,1.0,john_kresse
2000,1999-11-01,1159,patriot,Patriot League,East,South,Midwest,West,1.0,emmett_davis
2000,1999-11-01,1160,big_twelve,Big 12 Conference,East,South,Midwest,West,1.0,ricardo_patton
2000,1999-11-01,1161,mwc,Mountain West Conference,East,South,Midwest,West,1.0,ritchie_mckay
2000,1999-11-01,1162,ivy,Ivy League,East,South,Midwest,West,1.0,armond_hill
2000,1999-11-01,1163,big_east,Big East Conference,East,South,Midwest,West,1.0,jim_calhoun
2000,1999-11-01,1164,meac,Mid-Eastern Athletic Conference,East,South,Midwest,West,1.0,fang_mitchell
2000,1999-11-01,1165,ivy,Ivy League,East,South,Midwest,West,1.0,scott_thompson
2000,1999-11-01,1166,mvc,Missouri Valley Conference,East,South,Midwest,West,1.0,dana_altman
2000,1999-11-01,1168,big_west,Big West Conference,East,South,Midwest,West,1.0,bob_hawking
2000,1999-11-01,1169,big_sky,Big Sky Conference,East,South,Midwest,West,1.0,bobby_braswell
2000,1999-11-01,1170,big_sky,Big Sky Conference,East,South,Midwest,West,1.0,tom_abatemarco
2000,1999-11-01,1171,ivy,Ivy League,East,South,Midwest,West,1.0,dave_faucher
2000,1999-11-01,1172,southern,Southern Conference,East,South,Midwest,West,1.0,bob_mckillop
2000,1999-11-01,1173,a_ten,Atlantic 10 Conference,East,South,Midwest,West,1.0,oliver_purnell
2000,1999-11-01,1174,aec,America East Conference,East,South,Midwest,West,1.0,mike_brey
2000,1999-11-01,1175,meac,Mid-Eastern Athletic Conference,East,South,Midwest,West,1.0,tony_sheals
2000,1999-11-01,1176,sun_belt,Sun Belt Conference,East,South,Midwest,West,1.0,marty_fletcher
2000,1999-11-01,1177,cusa,Conference USA,East,South,Midwest,West,1.0,pat_kennedy
2000,1999-11-01,1178,mw_coll,Midwestern Collegiate Conference,East,South,Midwest,West,1.0,perry_watson
2000,1999-11-01,1179,mvc,Missouri Valley Conference,East,South,Midwest,West,1.0,kurt_kanaskie
2000,1999-11-01,1180,aec,America East Conference,East,South,Midwest,West,1.0,steve_seymour
2000,1999-11-01,1181,acc,Atlantic Coast Conference,East,South,Midwest,West,1.0,mike_krzyzewski
2000,1999-11-01,1182,a_ten,Atlantic 10 Conference,East,South,Midwest,West,1.0,darelle_porter
