Season,ConfRank,Conference,Schools,Wins,Losses,WinPCT,ConfSRS,ConfSOS
2010,1,Big 12 Conference,12,257,145,0.639303483,19.71,12.74
2010,2,Southeastern Conference,12,235,153,0.605670103,16.35,10.53
2010,3,Big Ten Conference,11,212,148,0.588888889,15.47,11.53
2010,4,Pacific-10 Conference,10,186,143,0.565349544,15.31,12.06
2010,5,Big East Conference,16,329,199,0.623106061,15.23,9.86
2010,6,Atlantic Coast Conference,12,248,147,0.627848101,14.97,9.18
2010,7,Mountain West Conference,9,160,129,0.553633218,6.08,4.65
2010,8,Atlantic 10 Conference,14,230,209,0.523917995,3.67,3.05
2010,9,West Coast Conference,8,126,125,0.501992032,2.4,2.8
2010,10,Colonial Athletic Association,12,202,180,0.528795812,1.96,1.22
2010,11,Missouri Valley Conference,10,164,154,0.51572327,1.45,1.61
2010,12,Conference USA,12,198,175,0.530831099,1.35,0.28
2010,13,Western Athletic Conference,9,144,138,0.510638298,0.13,0.98
2010,14,Mid-American Conference,12,181,192,0.485254692,-0.97,-0.47
2010,15,Horizon League,10,146,165,0.469453376,-2.23,-0.5
2010,16,America East Conference,9,132,145,0.476534296,-2.55,-0.67
2010,17,Big West Conference,9,118,157,0.429090909,-3.17,-0.46
2010,18,Sun Belt Conference,13,199,202,0.496259352,-4.03,-3.07
2010,19,Metro Atlantic Athletic Conference,10,144,167,0.463022508,-5.29,-3.95
2010,20,Big Sky Conference,9,128,145,0.468864469,-5.71,-2.73
2010,21,Ivy League,8,105,120,0.466666667,-5.74,-3.13
2010,22,Southern Conference,11,168,178,0.485549133,-6.31,-4.49
2010,23,Northeast Conference,12,164,197,0.454293629,-8.47,-6.54
2010,24,Big South Conference,9,138,139,0.498194946,-9.22,-6.98
2010,25,Patriot League,8,112,130,0.462809917,-9.84,-7.05
2010,26,Atlantic Sun Conference,11,154,180,0.461077844,-10.14,-7.9
2010,27,Summit League,10,130,176,0.424836601,-11.06,-6.54
2010,28,Southland Conference,12,176,186,0.486187845,-11.66,-9.11
2010,29,Mid-Eastern Athletic Conference,11,157,177,0.47005988,-13.27,-9.62
2010,30,Independent,5,50,97,0.340136054,-13.29,-4.59
2010,31,Ohio Valley Conference,10,136,168,0.447368421,-13.46,-9.36
2010,32,Southwest Athletic Conference,10,124,170,0.421768707,-15.87,-10.86
2010,33,Great West Conference,7,80,132,0.377358491,-18,-9.47
2011,1,Big 12 Conference,12,256,147,0.635235732,19.91,12.46
2011,2,Big East Conference,16,325,207,0.610902256,17.98,12.4
2011,3,Atlantic Coast Conference,12,249,147,0.628787879,16.8,10.16
2011,4,Big Ten Conference,11,201,150,0.572649573,15.42,11.95
2011,5,Pacific-10 Conference,10,185,138,0.572755418,13.98,11.27
2011,6,Southeastern Conference,12,238,157,0.602531646,12.75,8.56
2011,7,Mountain West Conference,9,148,139,0.515679443,6.61,5.19
2011,8,Atlantic 10 Conference,14,235,205,0.534090909,5.04,3.82
2011,9,Mid-American Conference,12,202,179,0.530183727,3.24,2.15
2011,10,Missouri Valley Conference,10,166,153,0.520376176,3.02,2.82
2011,11,Colonial Athletic Association,12,192,184,0.510638298,2.2,1.62
2011,12,West Coast Conference,8,127,121,0.512096774,0.78,0.82
2011,13,Conference USA,12,200,176,0.531914894,0.48,0.24
2011,14,Horizon League,10,159,160,0.498432602,0.19,1.21
2011,15,Western Athletic Conference,9,143,141,0.503521127,-1.4,-0.15
2011,16,Big West Conference,9,125,154,0.448028674,-3.1,-0.62
2011,17,Sun Belt Conference,12,175,193,0.475543478,-4.24,-2.81
2011,18,Big Sky Conference,9,125,149,0.45620438,-5.21,-2.65
2011,19,Southern Conference,11,167,173,0.491176471,-6.1,-4.65
2011,20,Summit League,10,138,163,0.458471761,-7.65,-4.28
2011,21,Patriot League,8,115,126,0.477178423,-7.79,-6.33
2011,22,Ivy League,8,97,129,0.42920354,-7.89,-5.22
2011,23,Big South Conference,9,133,144,0.480144404,-8.93,-6
2011,24,Northeast Conference,12,177,187,0.486263736,-9.71,-7.64
2011,25,Metro Atlantic Athletic Conference,10,141,174,0.447619048,-9.83,-6.63
2011,26,Ohio Valley Conference,10,140,165,0.459016393,-11.62,-8.23
2011,27,America East Conference,9,114,161,0.414545455,-11.7,-7.01
2011,28,Atlantic Sun Conference,11,156,182,0.461538462,-11.94,-8.87
2011,29,Mid-Eastern Athletic Conference,12,162,203,0.443835616,-12.19,-8.51
2011,30,Southland Conference,12,171,194,0.468493151,-12.67,-8.91
2011,31,Great West Conference,7,90,124,0.420560748,-14.15,-7.29
2011,32,Independent,5,59,83,0.415492958,-17.25,-5.61
2011,33,Southwest Athletic Conference,10,121,179,0.403333333,-17.9,-11.02
2012,1,Big 12 Conference,10,218,122,0.641176471,21.08,14.52
2012,2,Big East Conference,16,326,210,0.608208955,16.72,11.49
2012,3,Atlantic Coast Conference,12,228,163,0.583120205,15.43,10.12
2012,4,Southeastern Conference,12,243,148,0.621483376,14.92,8.91
2012,5,Pacific-12 Conference,12,232,162,0.588832487,14.05,10.3
2012,6,Big Ten Conference,12,218,164,0.570680628,12.79,9.57
2012,7,West Coast Conference,9,153,133,0.534965035,4.51,4.67
2012,8,Atlantic 10 Conference,14,222,210,0.513888889,3.66,2.88
2012,9,Colonial Athletic Association,12,205,179,0.533854167,2.25,2.56
2012,10,Missouri Valley Conference,10,166,158,0.512345679,1.89,1.66
2012,11,Horizon League,10,157,157,0.5,-0.34,-0.18
2012,12,Mountain West Conference,8,120,125,0.489795918,-1.54,-0.95
2012,13,Conference USA,12,195,176,0.525606469,-1.68,-2.38
2012,14,Mid-American Conference,12,186,191,0.4933687,-1.92,-0.86
2012,15,Big West Conference,9,129,150,0.462365591,-2.21,-0.63
2012,16,Big Sky Conference,9,134,138,0.492647059,-3.55,-1.73
2012,17,Ivy League,8,108,119,0.475770925,-4.34,-2.69
2012,18,Summit League,10,151,159,0.487096774,-4.65,-2.27
2012,19,Western Athletic Conference,8,113,136,0.453815261,-4.69,-2.09
2012,20,Sun Belt Conference,12,176,194,0.475675676,-5.48,-3.39
2012,21,America East Conference,9,133,148,0.473309609,-5.86,-3.78
2012,22,Patriot League,8,112,135,0.453441296,-6.6,-4.83
2012,23,Northeast Conference,12,179,188,0.48773842,-7.03,-5.34
2012,24,Metro Atlantic Athletic Conference,10,147,167,0.468152866,-7.17,-5.14
2012,25,Southland Conference,12,181,186,0.493188011,-8.86,-6.02
2012,26,Southern Conference,11,168,175,0.489795918,-9.24,-7.1
2012,27,Mid-Eastern Athletic Conference,13,180,214,0.456852792,-10.2,-7.05
2012,28,Ohio Valley Conference,11,145,189,0.434131737,-10.49,-6.81
2012,29,Big South Conference,10,144,155,0.481605351,-11.38,-9.1
2012,30,Atlantic Sun Conference,10,131,175,0.428104575,-13.23,-9.11
2012,31,Southwest Athletic Conference,10,108,176,0.38028169,-15.59,-9.44
2012,32,Great West Conference,6,69,111,0.383333333,-17.08,-8.84
2012,33,Independent,4,42,72,0.368421053,-17.33,-2.23
2013,1,Big 12 Conference,10,202,129,0.610271903,19.23,13.4
2013,2,Big Ten Conference,12,235,153,0.605670103,15.41,10.84
2013,3,Big East Conference,15,291,198,0.595092025,15.32,10.75
2013,4,Atlantic Coast Conference,12,223,165,0.574742268,15.27,11.38
2013,5,Southeastern Conference,14,291,176,0.623126338,14.67,8.77
2013,6,Pacific-12 Conference,12,221,172,0.562340967,11.84,9.91
2013,7,West Coast Conference,9,150,134,0.528169014,3.52,3.88
2013,8,Atlantic 10 Conference,16,251,242,0.509127789,2.41,1.95
2013,9,Colonial Athletic Association,11,182,170,0.517045455,1.83,1.18
2013,10,Missouri Valley Conference,10,161,159,0.503125,0.94,1.42
2013,11,Conference USA,12,208,172,0.547368421,0.8,-0.5
2013,12,Big West Conference,10,156,161,0.492113565,0.55,1.58
2013,13,Horizon League,9,144,137,0.512455516,-1.14,-0.4
2013,14,Sun Belt Conference,11,172,171,0.501457726,-1.53,-1.51
2013,15,Mountain West Conference,9,138,144,0.489361702,-1.86,-0.56
2013,16,Mid-American Conference,12,180,201,0.472440945,-2.03,-1.11
2013,17,Big Sky Conference,11,164,173,0.486646884,-4.26,-2.64
2013,18,Ivy League,8,107,123,0.465217391,-4.47,-2.9
2013,19,Patriot League,8,126,121,0.510121457,-5.8,-5.15
2013,20,Summit League,9,136,140,0.492753623,-6.07,-3.95
2013,21,America East Conference,9,128,145,0.468864469,-6.94,-4.73
2013,22,Western Athletic Conference,10,142,167,0.459546926,-7.01,-4.27
2013,23,Ohio Valley Conference,12,167,195,0.461325967,-7.41,-4.89
2013,24,Metro Atlantic Athletic Conference,10,141,171,0.451923077,-7.7,-5.46
2013,25,Southern Conference,11,164,182,0.473988439,-7.85,-6.1
2013,26,Southland Conference,10,154,158,0.493589744,-8.24,-5.74
2013,27,Northeast Conference,12,167,199,0.456284153,-9.45,-6.6
2013,28,Big South Conference,11,162,170,0.487951807,-10.37,-7.99
2013,29,Mid-Eastern Athletic Conference,13,176,221,0.443324937,-10.87,-7.39
2013,30,Atlantic Sun Conference,10,139,165,0.457236842,-11.59,-7.84
2013,31,Southwest Athletic Conference,10,113,183,0.381756757,-15.92,-10
2013,32,Independent,2,15,40,0.272727273,-19.76,-9.06
2013,33,Great West Conference,5,54,96,0.36,-20.05,-10.82
2014,1,Big 12 Conference,10,195,134,0.592705167,18.6,12.81
2014,2,Atlantic Coast Conference,15,304,189,0.61663286,18.44,12.16
2014,3,Southeastern Conference,14,293,170,0.632829374,17.58,10.68
2014,4,Big Ten Conference,12,238,157,0.602531646,15.03,10.5
2014,5,Pacific-12 Conference,12,226,172,0.567839196,14.03,11.79
2014,6,American Athletic Conference,10,198,138,0.589285714,13.84,10.23
2014,7,Big East Conference,10,178,149,0.544342508,7.71,6.32
2014,8,West Coast Conference,10,173,145,0.544025157,5.97,5.2
2014,9,Conference USA,16,282,226,0.55511811,2.17,0.59
2014,10,Atlantic 10 Conference,13,220,193,0.532687651,1.96,0.95
2014,11,Colonial Athletic Association,9,135,146,0.480427046,-0.45,0.4
2014,12,Big West Conference,9,128,152,0.457142857,-1.34,1.16
2014,13,Mid-American Conference,12,190,190,0.5,-1.48,-0.89
2014,14,Mountain West Conference,11,167,175,0.488304094,-2.23,-0.54
2014,15,Summit League,8,124,128,0.492063492,-2.9,-1.74
2014,16,Patriot League,10,161,152,0.514376997,-3.04,-2.91
2014,17,Big Sky Conference,11,169,167,0.50297619,-3.17,-1.23
2014,18,Ivy League,8,113,116,0.493449782,-3.85,-3.42
2014,19,Horizon League,9,136,148,0.478873239,-4.42,-2.4
2014,20,Missouri Valley Conference,10,143,168,0.459807074,-5.37,-3.05
2014,21,Sun Belt Conference,10,141,167,0.457792208,-7.1,-4.84
2014,22,Atlantic Sun Conference,10,145,167,0.46474359,-7.4,-4.69
2014,23,Metro Atlantic Athletic Conference,11,163,186,0.467048711,-7.47,-5.22
2014,24,Western Athletic Conference,9,126,152,0.45323741,-7.48,-4.89
2014,25,Northeast Conference,10,135,172,0.439739414,-10,-7.39
2014,26,Southern Conference,10,139,169,0.451298701,-10.04,-7.04
2014,27,Big South Conference,11,154,179,0.462462462,-11.01,-8.53
2014,28,Ohio Valley Conference,12,158,201,0.440111421,-11.43,-7.94
2014,29,Southland Conference,14,202,226,0.471962617,-11.64,-7.46
2014,30,Mid-Eastern Athletic Conference,13,180,214,0.456852792,-12.02,-7.46
2014,31,America East Conference,9,122,155,0.440433213,-12.94,-8.87
2014,32,Independent,1,8,21,0.275862069,-15.9,-7.36
2014,33,Southwest Athletic Conference,10,122,181,0.402640264,-18.55,-11.52
2015,1,Big Ten Conference,14,266,188,0.585903084,16.9,12.44
2015,2,Big 12 Conference,10,206,128,0.616766467,15.97,10.52
2015,3,Southeastern Conference,14,284,174,0.620087336,15.6,9.76
2015,4,Atlantic Coast Conference,15,307,192,0.615230461,15.53,10.22
2015,5,Pacific-12 Conference,12,227,164,0.58056266,13.86,10.51
2015,6,American Athletic Conference,11,191,170,0.529085873,8.55,6.96
2015,7,Big East Conference,10,168,157,0.516923077,4.76,4.53
2015,8,Atlantic 10 Conference,14,241,199,0.547727273,1.84,1.09
2015,9,West Coast Conference,10,167,150,0.52681388,1.57,2.26
2015,10,Ivy League,8,126,104,0.547826087,-0.07,-1.09
2015,11,Mid-American Conference,12,194,185,0.511873351,-0.22,-0.26
2015,12,Conference USA,14,224,218,0.50678733,-0.41,-0.38
2015,13,Horizon League,9,149,132,0.53024911,-0.58,-0.32
2015,14,Colonial Athletic Association,10,152,161,0.485623003,-1.28,-0.46
2015,15,Big West Conference,9,138,143,0.491103203,-1.52,-0.23
2015,16,Mountain West Conference,11,164,181,0.475362319,-2.67,-0.9
2015,17,Atlantic Sun Conference,8,135,111,0.548780488,-3.07,-2.52
2015,18,Summit League,9,138,142,0.492857143,-3.82,-2.41
2015,19,Missouri Valley Conference,10,145,168,0.463258786,-3.84,-1.18
2015,20,Big Sky Conference,12,185,187,0.497311828,-4.03,-2
2015,21,Patriot League,10,151,159,0.487096774,-4.4,-3.44
2015,22,Sun Belt Conference,11,179,165,0.520348837,-4.51,-3.33
2015,23,Southern Conference,8,129,125,0.507874016,-6.18,-4.97
2015,24,Metro Atlantic Athletic Conference,11,160,188,0.459770115,-6.29,-4.27
2015,25,America East Conference,9,132,145,0.476534296,-6.52,-4.58
2015,26,Ohio Valley Conference,12,157,201,0.438547486,-8.72,-5.69
2015,27,Western Athletic Conference,8,109,134,0.448559671,-10.21,-6.48
2015,28,Southland Conference,13,185,208,0.470737913,-11.28,-7.69
